,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
0,deep neural networks,deep neural networks,"knowledge science, engineering and management - 15th international conference",deep reinforcement learning models,adversarial examples,,deep neural networks,cloud,,,,,
1,cloud computing,large language models,ksem,kfolden,stealthy and efficient adversarial attacks,,,,,,,,
2,attacks,edge computing,singapore,k-fold ensemble,deep reinforcement learning,,,,,,,,
