,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007
0,chip,memory,hardware-aware neural architecture search,chip,chip,scheduling,chip,chip,chip,multiprocessor systems,chip,chip,chip,,chip,chip,,reconfigurable hardware devices
1,scheduling,,you,point,optical network,parallel real-time tasks,work,heterogeneous many-core systems,scheduling,chip,,multiprocessor system,,,,,,
2,memory,,lightweight differentiable architecture search,hardware-software co,optical nocs,design,progress,work,application mapping,,,,,,,,,
