,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,verification,,smart contracts,formal analysis,smart contracts,a performance-sensitive malware detection system,the language preservation problem,,,,,,,,,,,,,,verification
1,smart contracts,,,composable defi protocols,mobile devices,mobile platform,parametric event-recording automata,,,,,,,,,,,,,,real-time embedded software
2,a performance-sensitive malware detection system,,,,seqmobile,,,,,,,,,,,,,,,,
