,Overall,2023,2022,2021,2019,2018,2017,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004,2003
0,children,,,,la petite fee cosmo,,,,,,digital taste,origami recognition system,poetry mix-up,children,blogwall,,,
1,digital taste,,,,,,,,,,remote multisensory interactions,natural feature tracking,children,,,,,
2,blogwall,,,,,,,,,,ambikraf,,petimo,,,,,
