,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006
0,federated learning,federated learning,federated learning,federated learning,federated learning,federated learning,ethics,the adaptive level,,,,internet,,,,,,,
1,a survey,evolutionary carrier selection,quantum key distribution,noise-resistant deep metric learning,fedvision,opportunistic scheduling,artificial intelligence,,,,,,,,,,,,
2,quantum key distribution,shared truck delivery services,(qkd,hydra,an online visual object detection platform,productive laziness,visual domain adaptation,,,,,,,,,,,,
