,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2000,1999,1998,1997
0,-,audio-driven talking face generation,semantic-aligned matching,-,identification,scene text detection,verisimilar image synthesis,scene text detection,cosegmentation,detection,,degraded document images,restoration,,background estimation,,word shape coding,,the restoration,,,,,,,,
1,identification,diverse yet realistic facial animations,-,unsupervised domain adaptation,-,identification,accurate detection,words,,,,,motion,,,,,,degraded and distorted document images,,,,,,,,
2,scene text detection,vision-language models,scene text detection,lighting estimation,domain adaptive person re,cad-net,recognition,wetext,,,,,document images,,,,,,,,,,,,,,
