,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,security games,reinforcement learning,learning,robustness,zero-sum multiplayer extensive-form games,partial label learning,security games,security games,,multiagent reinforcement learning,,security games,security games,security games,,,,,,transitive dependence,
1,multi-agent reinforcement learning,multi-agent reinforcement learning,distribution,similarity-confidence data,noisy labels,crowdsourcing,,the,,efficiency,,,security,,,,,,,transitive dependence based formation,
2,crowdsourcing,prudex-compass,deep reinforcement learning,distributed constraint optimization problems,agreement,self-guided retraining,,october,,taxi systems,,,limited surveillance,,,,,,,virtual organizations,
