,Overall,2016,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2001,2000,1999,1998,1996,1995,1992
0,container terminals,,,container terminals,container terminals,a two stage yard crane workload partitioning,,container terminals,,parallel bdi agents,,,,,,parallel discrete-event simulation,,algorithms,,
1,yard crane dispatching,,,,,job,,yard crane dispatching,,,,,,,,,,automated guided vehicles,,
2,algorithm,,,,,algorithm,,,,,,,,,,,,,,
