,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
0,triangle meshes,-,iterative poisson surface reconstruction,3d point clouds,3d point clouds,,3d models,,,meshes,3d surfaces,,triangle meshes,triangle meshes,,,,,,,
1,wireless sensor networks,ope-sr,unoriented points,,pugeo-net,,,,,human motion capture data,motion capture data,,holes,geoquorum,,,,,,,
2,-,orthogonal position encoding,,,a geometry-centric network,,,,,,,,,load balancing,,,,,,,
