,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
0,a web warehouse,influence maximization,database education,plug-and-play visual graph query interfaces,massive graphs,document archives,large networks,graph databases,,,database systems,,protein interaction networks,social image tags,,,,rdbms,relational databases,changes,,a web warehouse,a web warehouse,,whoweda,a web warehouse,web warehousing
1,large networks,,query execution plans,data-driven canned pattern selection,an efficient framework,building,social images,,,,advanced applications - 19th international conference,,fuse,,,,,efficient evaluation,,relational databases,,a multi-layered database model,,,a web warehouse,,web databases
2,graph databases,,time series classification,large networks,attributed network,efficient estimation,,,,,dasfaa,,querying,,,,,tree-unaware rdbms,,unordered xml documents,,,,,,,a web warehouse
