,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2001,2000,1999,1998,1997,1996,1995,1992
0,guaranteed feature correspondence,,,,,la petite fee cosmo,,,,spectral caustic rendering,,,,,,,feature-based texture synthesis,skeleton based parametric solid models,,zooming camera,,,,,,,,,,
1,shape correspondence,,,,,,,,,a homogeneous caustic object,,,,,,,,,,augmented reality,,,,,,,,,,
2,its application,,,,,,,,,wavelength clustering,,,,,,,,,,,,,,,,,,,,
