,Overall,2021,2019,2017,2016,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2001,1997
0,image classification,,,,,,,,,visual features,motion,,image classification,a motion-based scene tree,daml-qos ontology,,,,
1,daml-qos ontology,,,,,,,,,class,,,advances,,service discovery,,,,
2,class,,,,,,,,,image classification,,,multimedia modeling,,,,,,
