,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2004
0,graph databases,cpmr,,performance saturation,,,,,reachability,,,,,massive networks,,,,graph databases,an information-theoretic approach,
1,large graphs,context-aware incremental sequential recommendation,,neural marked point processes,,,,,,,,,,,,,,,,
2,an information-theoretic approach,pseudo-multi-task learning,,loss functions,,,,,,,,,,,,,,,,
