,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995
0,hardware/software partitioning,,,,,ev scheduling,algorithms,,,,high level synthesis,,iris recognition,,reconfigurable processors,hardware/software partitioning,algorithmic aspects,,an efficient algorithm,,knapsack model,,load sharing,,,2n+1,,,,
1,custom instructions,,,,,demand,framework,,,,low-complexity corner detection,,defocused images,,,noc-based heterogeneous mpsoc platforms,-,,custom instructions,,algorithm,,a novel approach,,,,,,,
2,-,,,,,,data dependency-aware multi-constrained hardware-software partitioning,,,,,,custom instructions,,,,,,hardware/software,,,,adaptive progressive thresholding,,,,,,,
