,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
0,salient object detection,unis-mmc: multimodal classification,speech emotion recognition,,,,,l1-regularized reconstruction error,a classifier-guided approach,,,image matting,salient motion detection,,salient object detection,motion,,advances,a motion-based scene tree,,,,,,
1,images,unimodality-supervised multimodal contrastive learning,co-attention based multi-level acoustic information,,,,,alpha matte,top-down salient object detection,,,depth,,,photographic composition,,,multimedia modeling,,,,,,,
2,salient motion detection,,,,,,,,sparse coding,,,,,,visual words,,,international multimedia modeling conference,,,,,,,
