,Overall,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999
0,wireless sensor networks,,,analysis,adaptive influence maximization,efficient approximation algorithms,influence maximization,influence maximization meets efficiency,,,the cloud,distributed virtual environments,distributed interactive applications,wireless sensor networks,wireless sensor networks,distributed virtual environments,,,wireless sensor networks,,,,,,,
1,analysis,,,modified greedy algorithm,,adaptive seed minimization,profit maximization,effectiveness,,,,,,,distributed virtual environments,,,,wireless data broadcast,,,,,,,
2,distributed virtual environments,,,monotone submodular maximization,,,,: a hop-based approach,,,,,,,robust data collection,,,,analysis,,,,,,,
