,Title,Year,Authors,Journal,Journal Acronym,Rank
59,Using Leg Geometry to Align Androgenic Hair Patterns in Low Resolution Images for Criminal and Victim Identification.,2014,"Frodo Kin-Sun Chan, Adams Wai-Kin Kong",ICPR 2014: 495-500,ICPR,B
60,The Individuality of Relatively Permanent Pigmented or Vascular Skin Marks (RPPVSM) in Independently and Uniformly Distributed Patterns.,2013,"Arfika Nurhudatiana, Adams Wai-Kin Kong, Keyan Matinpour, Deborah Chon, Lisa Altieri, Siu-Yeung Cho, Noah Craft",IEEE Trans. Inf. Forensics Secur. 8: 998-1012 ,TIFS,Unranked
61,Modeling IrisCode and Its Variants as Convex Polyhedral Cones and Its Security Implications.,2013,Adams Wai-Kin Kong,IEEE Trans. Image Process. 22: 1148-1160 ,TIP,Unranked
62,A fast point pattern matching algorithm for robust spatially addressable bead encoding.,2013,"Abhik Datta, Adams Wai-Kin Kong, Soumita Ghosh, Dieter Trau",BIBE 2013: 1-7,BIBE,C
63,Automated identification of Relatively Permanent Pigmented or Vascular Skin Marks (RPPVSM).,2013,"Arfika Nurhudatiana, Adams Wai-Kin Kong, Lisa Altieri, Noah Craft",ICASSP 2013: 2984-2988,ICASSP,Unranked
64,Restoring blood vessel patterns from JPEG compressed skin images for forensic analysis.,2013,"Xiaojie Li, Adams Wai-Kin Kong",WIFS 2013: 19-24,WIFS,Unranked
65,An Introduction to the IrisCode Theory.,2013,"Adams Wai-Kin Kong, David Zhang, Mohamed Kamel",Handbook of Iris Recognition 2013: 321-336,ACVPR,Unranked
66,IrisCode Decompression Based on the Dependence between Its Bit Pairs.,2012,Adams Wai-Kin Kong,IEEE Trans. Pattern Anal. Mach. Intell. 34: 506-520 ,PAMI,Unranked
67,Matching vein patterns from color images for forensic investigation.,2012,"Hengyi Zhang, Chaoying Tang, Adams Wai-Kin Kong, Noah Craft",BTAS 2012: 77-84,BTAS,Unranked
68,Visualizing vein patterns from color skin images based on image mapping for forensics analysis.,2012,"Chaoying Tang, Hengyi Zhang, Adams Wai-Kin Kong, Noah Craft",ICPR 2012: 2387-2390,ICPR,B
69,Using a Knowledge-Based Approach to Remove Blocking Artifacts in Skin Images for Forensic Analysis.,2011,"Chaoying Tang, Adams Wai-Kin Kong, Noah Craft",IEEE Trans. Inf. Forensics Secur. 6: 1038-1049 ,TIFS,Unranked
70,Uncovering vein patterns from color skin images for forensic analysis.,2011,"Chaoying Tang, Adams Wai-Kin Kong, Noah Craft",CVPR 2011: 665-672,CVPR,A*
71,A knowledge-based algorithm to remove blocking artifacts in skin images for forensic analysis.,2011,"Chaoying Tang, Adams Wai-Kin Kong, Noah Craft",ICASSP 2011: 1928-1931,ICASSP,Unranked
72,Fundamental statistics of relatively permanent pigmented or vascular skin marks for criminal and victim identification.,2011,"Arfika Nurhudatiana, Adams Wai-Kin Kong, Keyan Matinpour, Siu-Yeung Cho, Noah Craft",IJCB 2011: 1-6,ICB,Unranked
73,An Analysis of IrisCode.,2010,"Adams Wai-Kin Kong, David Zhang, Mohamed S. Kamel",IEEE Trans. Image Process. 19: 522-532 ,TIP,Unranked
74,An alternative Gabor filtering scheme.,2010,Adams Wai-Kin Kong,ICIP 2010: 1925-1928,ICIP,B
75,A survey of palmprint recognition.,2009,"Adams Wai-Kin Kong, David Dapeng Zhang, Mohamed S. Kamel",Pattern Recognit. 42: 1408-1418 ,PR,Unranked
76,An Analysis of Gabor Detection.,2009,Adams Wai-Kin Kong,ICIAR 2009: 64-72,ICIAR,C
77,Three measures for secure palmprint identification.,2008,"Adams Wai-Kin Kong, David Zhang, Mohamed Kamel",Pattern Recognit. 41: 1329-1337 ,PR,Unranked
78,An evaluation of Gabor orientation as a feature for face recognition.,2008,Adams Wai-Kin Kong,ICPR 2008: 1-4,ICPR,B
79,Palmprint Identification Based on Generalization of IrisCode.,2007,Adams Wai-Kin Kong,"University of Waterloo, Ontario, Canada, 2007",NAN,Unranked
80,Palmprint Identification by Fused Wavelet Characteristics.,2007,"Guangming Lu, David Zhang, Adams Wai-Kin Kong, Qingmin Liao",Image Pattern Recognition 2007: 225-242,SMPAI,Unranked
81,Palmprint identification using feature-level fusion.,2006,"Adams Wai-Kin Kong, David Zhang, Mohamed Kamel",Pattern Recognit. 39: 478-487 ,PR,Unranked
82,An analysis of BioHashing and its variants.,2006,"Adams Wai-Kin Kong, King Hong Cheung, David Zhang, Mohamed S. Kamel, Jane You",Pattern Recognit. 39: 1359-1368 ,PR,Unranked
