,Title,Year,Authors,Journal,Journal Acronym,Rank
50,Learning-Based Compositional Parameter Synthesis for Event-Recording Automata.,2017,"Étienne André, Shang-Wei Lin",FORTE 2017: 17-32,FORTE,C
51,Enhancing Knowledge Sharing in Stack Overflow via Automatic External Web Resources Linking.,2017,"Sa Gao, Zhenchang Xing, Yukun Ma, Deheng Ye, Shang-Wei Lin",ICECCS 2017: 90-99,ICECCS,B
52,Automatic loop-invariant generation and refinement through selective sampling.,2017,"Jiaying Li, Jun Sun, Li Li, Quang Loc Le, Shang-Wei Lin",ASE 2017: 782-792,KBSE,Unranked
53,FiB: squeezing loop invariants by interpolation between Forward/Backward predicate transformers.,2017,"Shang-Wei Lin, Jun Sun, Hao Xiao, Yang Liu, David Sanán, Henri Hansen",ASE 2017: 793-803,KBSE,Unranked
54,Loopster: static loop termination analysis.,2017,"Xiaofei Xie, Bihuan Chen, Liang Zou, Shang-Wei Lin, Yang Liu, Xiaohong Li",ESEC/SIGSOFT FSE 2017: 84-94,SIGSOFT,Unranked
55,Steelix: program-state based binary fuzzing.,2017,"Yuekang Li, Bihuan Chen, Mahinthan Chandramohan, Shang-Wei Lin, Yang Liu, Alwen Tiu",ESEC/SIGSOFT FSE 2017: 627-637,SIGSOFT,Unranked
56,HDSKG: Harvesting domain specific knowledge graph from content of webpages.,2017,"Xuejiao Zhao, Zhenchang Xing, Muhammad Ashad Kabir, Naoya Sawada, Jing Li, Shang-Wei Lin",SANER 2017: 56-67,WCRE,Unranked
57,From verified model to executable program: the PAT approach.,2016,"Huiquan Zhu, Jing Sun, Jin Song Dong, Shang-Wei Lin",Innov. Syst. Softw. Eng. 12: 1-26 ,ISSE,Unranked
58,Engineering Socially-Aware Systems and Applications.,2016,"Muhammad Ashad Kabir, Jun Han, Alan W. Colman, Naif R. Aljohani, Mohammed Basheri, Zhenchang Xing, Shang-Wei Lin",ICECCS 2016: 81-90,ICECCS,B
59,Compositional Reasoning for Shared-variable Concurrent Programs.,2016,"Fuyuan Zhang, Yongwang Zhao, David Sanán, Yang Liu, Alwen Tiu, Shang-Wei Lin, Zhimin Wu, Jun Sun",CoRR abs/1611.00574 ,CORR,Unranked
60,Interpolation Guided Compositional Verification (T).,2015,"Shang-Wei Lin, Jun Sun, Truong Khanh Nguyen, Yang Liu, Jin Song Dong",ASE 2015: 65-74,KBSE,Unranked
61,"TLV: abstraction through testing, learning, and validation.",2015,"Jun Sun, Hao Xiao, Yang Liu, Shang-Wei Lin, Shengchao Qin",ESEC/SIGSOFT FSE 2015: 698-709,SIGSOFT,Unranked
62,Learning Assumptions for CompositionalVerification of Timed Systems.,2014,"Shang-Wei Lin, Étienne André, Yang Liu, Jun Sun, Jin Song Dong",IEEE Trans. Software Eng. 40: 137-153 ,TSE,Unranked
63,Diamonds Are a Girl's Best Friend: Partial Order Reduction for Timed Automata with Abstractions.,2014,"Henri Hansen, Shang-Wei Lin, Yang Liu, Truong Khanh Nguyen, Jun Sun",CAV 2014: 391-406,CAV,A*
