,Title,Year,Authors,Journal,Journal Acronym,Rank
29,Preliminary results of using inertial sensors to detect dementia- related wandering patterns.,2015,"Nhu Khue Vuong, Syin Chan, Chiew Tong Lau, Stephen Yew Wei Chan, Philip Lin Kiat Yap, S. H. Annabel Chen",EMBC 2015: 3703-3706,EMBC,Unranked
30,A Declarative Optimization Engine for Resource Provisioning of Scientific Workflows in IaaS Clouds.,2015,"Amelie Chi Zhou, Bingsheng He, Xuntao Cheng, Chiew Tong Lau",HPDC 2015: 223-234,HPDC,A
31,A MSPCA based intrusion detection algorithm tor detection of DDoS attack.,2015,"Zhaomin Chen, Chai Kiat Yeo, Francis Bu-Sung Lee, Chiew Tong Lau",ICCC 2015: 1-5,ICCCHINA,Unranked
32,TQCR-media access control: two-level quality of service provisioning media access control protocol for cognitive radio network.,2014,"Vishram Mishra, Chiew Tong Lau, Syin Chan, Jimson Mathew",IET Networks 3: 74-81 ,IET-NET,Unranked
33,A Long-Term Reference Frame for Hierarchical B-Picture-Based Video Coding.,2014,"Manoranjan Paul, Weisi Lin, Chiew Tong Lau, Bu-Sung Lee",IEEE Trans. Circuits Syst. Video Technol. 24: 1729-1742 ,TCSV,Unranked
34,Video coding with dynamic background.,2013,"Manoranjan Paul, Weisi Lin, Chiew Tong Lau, Bu-Sung Lee",EURASIP J. Adv. Signal Process. 2013: 11 ,EJASP,Unranked
35,Pattern-based video coding with dynamic background modeling.,2013,"Manoranjan Paul, Weisi Lin, Chiew Tong Lau, Bu-Sung Lee",EURASIP J. Adv. Signal Process. 2013: 138 ,EJASP,Unranked
36,Energy Aware Spectrum Decision Framework for Cognitive Radio Network: A Spectrum Decision Framework for Cognitive Radio Network with Energy Awareness.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan, Jimson Mathew",J. Low Power Electron. 9: 313-321 ,JOLPE,Unranked
37,Reconfigurable Channel Selection Technique for Cognitive Radio Network With Heterogeneous Primary Bands.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",IEEE Trans. Veh. Technol. 62: 3942-3952 ,TVT,Unranked
38,Deterministic time pattern based channel selection in cognitive Radio network.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chen",ICOIN 2013: 169-174,ICOIN,Unranked
39,Distributed contention based MAC protocol for cognitive radio networks with QoS provisioning.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",ICON 2013: 1-6,ICON,Unranked
40,QoS provisioning self co-existence protocol for cognitive radio ad-hoc networks.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",ICON 2013: 1-6,ICON,Unranked
41,A QoS provisioning MAC protocol for Cognitive Radio Network.,2013,"Vishram Mishra, Chiew Tong Lau, Syin Chan",ICSPCS 2013: 1-8,ICSPCS,Unranked
42,On the exact expression for single-stage CSMA/CA's idle period distribution.,2012,"Raymond J. Jayabal, Chiew Tong Lau",Comput. Math. Appl. 64: 1343-1351 ,CMA,Unranked
43,Multi-user Interference and Cross Correlation Effects of Spline Multiwavelet based Cognitive Radio Network.,2012,"Mathew Manju, A. Benjamin Premkumar, Chiew Tong Lau",J. Commun. 7: 701-711 ,JCM,Unranked
44,Low-Complexity Video Coding Based on Two-Dimensional Singular Value Decomposition.,2012,"Zhouye Gu, Weisi Lin, Bu-Sung Lee, Chiew Tong Lau",IEEE Trans. Image Process. 21: 674-687 ,TIP,Unranked
45,Mode-Dependent Templates and Scan Order for H.264/AVC-Based Intra Lossless Coding.,2012,"Zhouye Gu, Weisi Lin, Bu-Sung Lee, Chiew Tong Lau, Ming-Ting Sun",IEEE Trans. Image Process. 21: 4106-4116 ,TIP,Unranked
46,Rotated Orthogonal Transform (ROT) for Motion-Compensation Residual Coding.,2012,"Zhouye Gu, Weisi Lin, Bu-Sung Lee, Chiew Tong Lau",IEEE Trans. Image Process. 21: 4770-4781 ,TIP,Unranked
47,Bottom-Up Saliency Detection Model Based on Human Visual Sensitivity and Amplitude Spectrum.,2012,"Yuming Fang, Weisi Lin, Bu-Sung Lee, Chiew Tong Lau, Zhenzhong Chen, Chia-Wen Lin",IEEE Trans. Multim. 14: 187-198 ,TMM,Unranked
48,Robust Image Coding Based Upon Compressive Sensing.,2012,"Chenwei Deng, Weisi Lin, Bu-Sung Lee, Chiew Tong Lau",IEEE Trans. Multim. 14: 278-290 ,TMM,Unranked
