,Title,Year,Authors,Journal,Journal Acronym,Rank
0,A Study on Satisfaction Level Among Amateur Web Application Developers Towards Pigeon-Table as Nano Web Development Framework.,2019,"Chin Ann Ong, Fu Swee Tee, Voon Yang Nen",J. Organ. End User Comput. 31: 97-112 ,JOEUC,Unranked
1,Human activity recognition: A review.,2014,"Ong Chin Ann, Lau Bee Theng",ICCSCE 2014: 389-393,ICCSCE,Unranked
2,Helping the disabled people: the potentials of biometric information.,2012,"Ong Chin Ann, Lau Bee Theng",Interact. Technol. Smart Educ. 9: 153-170 ,ITSE,Unranked
3,A study on the effectiveness of biometrics based alternative communication tool.,2011,"Ong Chin Ann, Lau Bee Theng",ICICS 2011: 1-4,IEEEICICS,Unranked
4,Quasi-subtractive dithering.,2001,"Dominic S. Lee, Chin Ann Ong",Signal Process. 81: 2321-2331 ,SIGPRO,Unranked
5,An enhanced NAS-RIF algorithm for blind image deconvolution.,1999,"Chin Ann Ong, Jonathon A. Chambers",IEEE Trans. Image Process. 8: 988-992 ,TIP,Unranked
