,Title,Year,Authors,Journal,Journal Acronym,Rank
0,Rate Control of H.264/AVC Scalable Extension.,2008,"Yang Liu, Zhengguo Li, Yeng Chai Soh",IEEE Trans. Circuits Syst. Video Technol. 18: 116-121 ,TCSV,Unranked
1,Region-of-Interest Based Resource Allocation for Conversational Video Communication of H.264/AVC.,2008,"Yang Liu, Zhengguo Li, Yeng Chai Soh",IEEE Trans. Circuits Syst. Video Technol. 18: 134-139 ,TCSV,Unranked
2,A Novel Rate Control Scheme for Low Delay Video Communication of H.264/AVC Standard.,2007,"Yang Liu, Zheng Guo Li, Yeng Chai Soh",IEEE Trans. Circuits Syst. Video Technol. 17: 68-78 ,TCSV,Unranked
3,Rate Control for Spatial/CGS Scalable Extension of H.264/AVC.,2007,"Yang Liu, Yeng Chai Soh, Zheng Guo Li",ISCAS 2007: 1746-1750,ISCAS,Unranked
4,Adaptive Mad Prediction and Refined R-Q Model for H.264/AVC Rate Control.,2006,"Yang Liu, Zheng Guo Li, Yeng Chai Soh",ICASSP  2006: 905-908,ICASSP,Unranked
5,Conversational Video Communication of H.264/AVC with Region-of-Interest Concern.,2006,"Yang Liu, Zhengguo Li, Yeng Chai Soh, Mei Hwan Loke",ICIP 2006: 3129-3132,ICIP,B
6,A novel SNR refinement scheme for scalable video coding.,2005,"Zhengguo Li, Yang Liu, Yeng Chai Soh",ICIP  2005: 644-647,ICIP,B
7,Motion compensated temporal filtering with optimal temporal distance between each motion compensation pair.,2004,"Yang Liu, Zhengguo Li, Yeng Chai Soh",ICIP 2004: 2283-2286,ICIP,B
