,Title,Year,Authors,Journal,Journal Acronym,Rank
37,Transferable End-to-End Aspect-based Sentiment Analysis with Selective Adversarial Learning.,2019,"Zheng Li, Xin Li, Ying Wei, Lidong Bing, Yu Zhang, Qiang Yang",EMNLP/IJCNLP  2019: 4589-4599,EMNLP,A*
38,Hierarchically Structured Meta-learning.,2019,"Huaxiu Yao, Ying Wei, Junzhou Huang, Zhenhui Li",ICML 2019: 7045-7054,ICML,A*
39,From Whole Slide Imaging to Microscopy: Deep Microscopy Adaptation Network for Histopathology Cancer Image Classification.,2019,"Yifan Zhang, Hanbo Chen, Ying Wei, Peilin Zhao, Jiezhang Cao, Xinjuan Fan, Xiaoying Lou, Hailing Liu, Jinlong Hou, Xiao Han, Jianhua Yao, Qingyao Wu, Mingkui Tan, Junzhou Huang",MICCAI  2019: 360-368,MICCAI,A
40,Learning from Multiple Cities: A Meta-Learning Approach for Spatial-Temporal Prediction.,2019,"Huaxiu Yao, Yiding Liu, Ying Wei, Xianfeng Tang, Zhenhui Li",WWW 2019: 2181-2191,WWW,A*
41,Learning from Multiple Cities: A Meta-Learning Approach for Spatial-Temporal Prediction.,2019,"Huaxiu Yao, Yiding Liu, Ying Wei, Xianfeng Tang, Zhenhui Li",CoRR abs/1901.08518 ,CORR,Unranked
42,Hierarchically Structured Meta-learning.,2019,"Huaxiu Yao, Ying Wei, Junzhou Huang, Zhenhui Li",CoRR abs/1905.05301 ,CORR,Unranked
43,Transferable Neural Processes for Hyperparameter Optimization.,2019,"Ying Wei, Peilin Zhao, Huaxiu Yao, Junzhou Huang",CoRR abs/1909.03209 ,CORR,Unranked
44,Graph Few-shot Learning via Knowledge Transfer.,2019,"Huaxiu Yao, Chuxu Zhang, Ying Wei, Meng Jiang, Suhang Wang, Junzhou Huang, Nitesh V. Chawla, Zhenhui Li",CoRR abs/1910.03053 ,CORR,Unranked
45,Transferable End-to-End Aspect-based Sentiment Analysis with Selective Adversarial Learning.,2019,"Zheng Li, Xin Li, Ying Wei, Lidong Bing, Yu Zhang, Qiang Yang",CoRR abs/1910.14192 ,CORR,Unranked
46,Collaborative Unsupervised Domain Adaptation for Medical Image Diagnosis.,2019,"Yifan Zhang, Ying Wei, Peilin Zhao, Shuaicheng Niu, Qingyao Wu, Mingkui Tan, Junzhou Huang",CoRR abs/1911.07293 ,CORR,Unranked
