,Title,Year,Authors,Journal,Journal Acronym,Rank
25,MSCM-LiFe: Multi-scale cross modal linear feature for horizon detection in maritime images.,2017,"Dilip K. Prasad, Deepu Rajan, Chandrashekar Krishna Prasath, Lily Rachmawati, Eshan Rajabally, Chai Quek",CoRR abs/1701.08378 ,CORR,Unranked
26,Maritime situational awareness using adaptive multi-sensor management under hazy conditions.,2017,"Dilip K. Prasad, Chandrashekar Krishna Prasath, Deepu Rajan, Lily Rachmawati, Eshan Rajabally, Chai Quek",CoRR abs/1702.00754 ,CORR,Unranked
27,L1-regularized Reconstruction Error as Alpha Matte.,2017,"Jubin Johnson, Hisham Cholakkal, Deepu Rajan",CoRR abs/1702.02744 ,CORR,Unranked
28,A learning-based approach for automatic image and video colorization.,2017,"Raj Kumar Gupta, Alex Yong Sang Chia, Deepu Rajan, Zhiyong Huang",CoRR abs/1704.04610 ,CORR,Unranked
29,Efficient 2D viewpoint combination for human action recognition.,2016,"Behrouz Saghafi, Deepu Rajan, Wanqing Li",Pattern Anal. Appl. 19: 563-577 ,PAA,Unranked
30,A classifier-guided approach for top-down salient object detection.,2016,"Hisham Cholakkal, Jubin Johnson, Deepu Rajan",Signal Process. Image Commun. 45: 24-40 ,SPIC,Unranked
31,Sparse Coding for Alpha Matting.,2016,"Jubin Johnson, Ehsan Shahrian Varnousfaderani, Hisham Cholakkal, Deepu Rajan",IEEE Trans. Image Process. 25: 3032-3043 ,TIP,Unranked
32,Double Low Rank Matrix Recovery for Saliency Fusion.,2016,"Junxia Li, Lei Luo, Fanlong Zhang, Jian Yang, Deepu Rajan",IEEE Trans. Image Process. 25: 4421-4432 ,TIP,Unranked
33,Backtracking ScSPM Image Classifier for Weakly Supervised Top-Down Saliency.,2016,"Hisham Cholakkal, Jubin Johnson, Deepu Rajan",CVPR 2016: 5278-5287,CVPR,A*
34,Feasibility Analysis of Eye Typing with a Standard Webcam.,2016,"Yi Liu, Bu-Sung Lee, Andrzej Sluzek, Deepu Rajan, Martin J. McKeown",ECCV Workshops  2016: 254-268,ECCV,A*
35,Salient object detection in tracking shots.,2016,"Karthik Muthuswamy, Deepu Rajan",ICPR 2016: 1780-1785,ICPR,B
36,Sparse Coding for Alpha Matting.,2016,"Jubin Johnson, Ehsan Shahrian Varnousfaderani, Hisham Cholakkal, Deepu Rajan",CoRR abs/1604.02898 ,CORR,Unranked
37,A Classifier-guided Approach for Top-down Salient Object Detection.,2016,"Hisham Cholakkal, Jubin Johnson, Deepu Rajan",CoRR abs/1604.06570 ,CORR,Unranked
38,Challenges in video based object detection in maritime scenario using computer vision.,2016,"Dilip K. Prasad, Chandrashekar Krishna Prasath, Deepu Rajan, Lily Rachmawati, Eshan Rajabally, Chai Quek",CoRR abs/1608.01079 ,CORR,Unranked
39,Weakly Supervised Top-down Salient Object Detection.,2016,"Hisham Cholakkal, Jubin Johnson, Deepu Rajan",CoRR abs/1611.05345 ,CORR,Unranked
40,Video Processing from Electro-optical Sensors for Object Detection and Tracking in Maritime Environment: A Survey.,2016,"Dilip K. Prasad, Deepu Rajan, Lily Rachmawati, Eshan Rajabally, Chai Quek",CoRR abs/1611.05842 ,CORR,Unranked
41,Particle filter framework for salient object detection in videos.,2015,"Karthik Muthuswamy, Deepu Rajan",IET Comput. Vis. 9: 428-438 ,IET-CVI,Unranked
42,Multi-modal fusion for associated news story retrieval.,2015,"Ehsan Younessian, Deepu Rajan",Multim. Tools Appl. 74: 2563-2585 ,MTA,Unranked
43,Top-down saliency with Locality-constrained Contextual Sparse Coding.,2015,"Hisham Cholakkal, Deepu Rajan, Jubin Johnson",BMVC 2015: 159.1-159.12,BMVC,A
44,Local feature embedding for supervised image classification.,2015,"Junxia Li, Deepu Rajan, Jian Yang",ICIP 2015: 1300-1304,ICIP,B
45,Temporal trimap propagation using motion-assisted shape blending.,2015,"Jubin Johnson, Deepu Rajan, Hisham Cholakkal",VCIP 2015: 1-4,VCIP,C
46,Sparse codes as Alpha Matte.,2014,"Jubin Johnson, Deepu Rajan, Hisham Cholakkal",BMVC 2014,BMVC,A
47,Using texture to complement color in image matting.,2013,"Ehsan Shahrian, Deepu Rajan",Image Vis. Comput. 31: 658-672 ,IVC,Unranked
48,Dynamic distortion maps for image retargeting.,2013,"Xuejie Zhang, Yiqun Hu, Deepu Rajan",J. Vis. Commun. Image Represent. 24: 81-92 ,JVCIR,Unranked
49,Salient Motion Detection in Compressed Domain.,2013,"Karthik Muthuswamy, Deepu Rajan",IEEE Signal Process. Lett. 20: 996-999 ,SPL,Unranked
50,Regularized Feature Reconstruction for Spatio-Temporal Saliency Detection.,2013,"Zhixiang Ren, Shenghua Gao, Liang-Tien Chia, Deepu Rajan",IEEE Trans. Image Process. 22: 3120-3132 ,TIP,Unranked
51,Weighted Color and Texture Sample Selection for Image Matting.,2013,"Ehsan Shahrian Varnousfaderani, Deepu Rajan",IEEE Trans. Image Process. 22: 4260-4270 ,TIP,Unranked
52,Depth really Matters: Improving Visual Salient Region Detection with Depth.,2013,"Karthik Desingh, K. Madhava Krishna, Deepu Rajan, C. V. Jawahar",BMVC 2013,BMVC,A
53,Improving Image Matting Using Comprehensive Sampling Sets.,2013,"Ehsan Shahrian, Deepu Rajan, Brian L. Price, Scott Cohen",CVPR 2013: 636-643,CVPR,A*
54,Human activities recognition using depth images.,2013,"Raj Kumar Gupta, Alex Yong Sang Chia, Deepu Rajan",ACM Multimedia 2013: 283-292,MM,Unranked
55,Background subtraction via coherent trajectory decomposition.,2013,"Zhixiang Ren, Liang-Tien Chia, Deepu Rajan, Shenghua Gao",ACM Multimedia 2013: 545-548,MM,Unranked
56,New Edge Characteristics for Scene and Object Classification.,2012,"Palaiahnakote Shivakumara, Deepu Rajan, Suresh Anand Sadananthan",Int. J. Pattern Recognit. Artif. Intell. 26 ,IJPRAI,Unranked
57,"Object Recognition by Discriminative Combinations of Line Segments, Ellipses, and Appearance Features.",2012,"Alex Yong Sang Chia, Deepu Rajan, Maylor Karhang Leung, Susanto Rahardja",IEEE Trans. Pattern Anal. Mach. Intell. 34: 1758-1772 ,PAMI,Unranked
58,Human action recognition using Pose-based discriminant embedding.,2012,"Behrouz Saghafi, Deepu Rajan",Signal Process. Image Commun. 27: 96-111 ,SPIC,Unranked
59,A Linear Dynamical System Framework for Salient Motion Detection.,2012,"Viswanath Gopalakrishnan, Deepu Rajan, Yiqun Hu",IEEE Trans. Circuits Syst. Video Technol. 22: 683-692 ,TCSV,Unranked
60,Weighted color and texture sample selection for image matting.,2012,"Ehsan Shahrian, Deepu Rajan",CVPR 2012: 718-725,CVPR,A*
61,Sparse likelihood saliency detection.,2012,"Minh-Chau Hoang, Deepu Rajan",ICASSP 2012: 897-900,ICASSP,Unranked
62,Salient motion detection through state controllability.,2012,"Karthik Muthuswamy, Deepu Rajan",ICASSP 2012: 1465-1468,ICASSP,Unranked
63,Spatiotemporal Saliency Detection via Sparse Representation.,2012,"Zhixiang Ren, Shenghua Gao, Deepu Rajan, Liang-Tien Chia, Yun Huang",ICME 2012: 158-163,ICMCS,Unranked
